FIR_REG_NUM,CHARGESHEET_OR_NOT,CHARGESHEET_DT,FR_TYPE,COURT_DISPOSAL,DISPOSAL_DT
UP2023105300113,Y,2024-03-18,,Pending Trial,
UP2024148000249,Y,2024-07-06,,,
UP2025141000045,N,2025-09-15,A-Summary,,
UP2024081200021,Y,2024-12-09,,,
UP2024003700110,N,2025-01-30,A-Summary,,
UP2025027500101,Y,2025-11-12,,Acquitted,2026-06-30
UP2025108500185,N,2025-07-04,C-Summary,,
UP2025143600163,Y,2025-07-15,,Pending Trial,
UP2025147800162,N,2026-04-09,B-Summary,,
UP2023082800102,N,2024-10-16,C-Summary,,
UP2023089300053,Y,2024-03-10,,,
UP2024146100092,Y,2024-05-05,,,
UP2024001300100,Y,2024-09-29,,Pending Trial,
UP2025049000118,N,2026-06-30,A-Summary,,
UP2025052900161,Y,2025-12-30,,,
UP2024000100091,Y,2024-12-18,,,
UP2023098400057,Y,2023-12-26,,Pending Trial,
UP2025051200207,Y,2025-05-22,,,
UP2025069000275,N,2025-11-19,A-Summary,,
UP2025127600097,N,2026-06-30,A-Summary,,
UP2024121000143,N,2025-03-16,B-Summary,,
UP2023097300076,N,2024-02-27,A-Summary,,
UP2024070800049,N,2025-02-11,A-Summary,,
UP2024112500138,Y,2024-09-25,,Pending Trial,
UP2024003600076,N,2025-03-26,A-Summary,,
UP2024110200144,Y,2024-09-13,,,
UP2023115200088,Y,2023-07-10,,,
UP2024084900096,N,2025-01-01,A-Summary,,
UP2023078000040,Y,2023-08-09,,,
UP2025097200076,Y,2026-05-11,,Pending Trial,
UP2024047900068,Y,2024-11-28,,Pending Trial,
UP2025098900103,N,2025-11-03,A-Summary,,
UP2024022400098,Y,2024-11-26,,,
UP2023105700024,N,2024-09-26,C-Summary,,
UP2025149500279,N,2025-12-09,C-Summary,,
UP2023076200080,Y,2023-07-06,,Pending Trial,
UP2023020500081,N,2023-12-24,C-Summary,,
UP2024120900135,Y,2024-09-24,,Acquitted,2025-09-22
UP2023014100075,Y,2023-12-17,,,
UP2025055100160,Y,2025-11-18,,Pending Trial,
UP2024052100052,N,2024-08-06,B-Summary,,
UP2025143500198,Y,2025-11-22,,Pending Trial,
UP2024140300129,Y,2024-06-01,,,
UP2024063600025,N,2025-05-27,B-Summary,,
UP2025007000089,Y,2025-06-01,,,
UP2025103900016,Y,2026-01-01,,Pending Trial,
UP2024069300128,Y,2024-05-06,,,
UP2024051700049,Y,2025-01-09,,,
UP2024140500121,N,2024-12-20,A-Summary,,
UP2024083800126,N,2025-03-15,C-Summary,,
UP2023004500132,N,2023-09-03,A-Summary,,
UP2024095100097,N,2024-07-18,A-Summary,,
UP2023069200080,N,2023-12-24,C-Summary,,
UP2023120300117,N,2024-04-18,A-Summary,,
UP2023044800084,N,2024-03-16,B-Summary,,
UP2023050500095,N,2023-07-21,A-Summary,,
UP2024083600105,Y,2024-10-01,,Convicted,2025-02-22
UP2024019900156,Y,2024-09-02,,Acquitted,2025-09-03
UP2024106700089,N,2024-09-03,B-Summary,,
UP2025148800176,Y,2025-08-23,,,
UP2025049900044,Y,2025-10-04,,Pending Trial,
UP2023125500073,Y,2023-06-24,,Pending Trial,
UP2023149500177,N,2023-05-02,A-Summary,,
UP2025149300192,N,2025-12-13,A-Summary,,
UP2023118700085,N,2024-08-28,C-Summary,,
UP2025019900176,Y,2025-10-03,,Convicted,2026-05-08
UP2023125700052,Y,2023-12-08,,Pending Trial,
UP2024037100029,N,2025-02-08,A-Summary,,
UP2023053900116,Y,2023-10-23,,,
UP2025000400107,Y,2026-01-05,,,
UP2024120400126,N,2024-08-29,A-Summary,,
UP2023006500074,N,2024-07-25,C-Summary,,
UP2025144900034,Y,2025-07-12,,Pending Trial,
UP2025046700026,Y,2025-10-25,,Acquitted,2026-04-03
